Section,Title,Session,Days,Start time,End time,Status,Unit
001-SEM (1104),MEDIART305,7W2,MoWe,14.45,17.15,18,4
001-SEM (1124),MEDIART306,7W2,MoWe,14.45,17.15,18,4
001-SEM (1082),MEDIART310,7W2,MoWe,12,14.3,18,4
001-SEM (1053),MEDIART323,7W2,TuTh,8.3,11,18,4
001-SEM (1052),MEDIART390,7W2,MoWe,8.3,11,18,4
001-SEM (1081),MEDIART490,7W2,TuTh,12,14.3,18,4
001-SEM (1537),MEDIART498,7W2,MoWe,8.3,11,18,4
002-SEM (1332),NEUROSCI102,7W2,MoTuWeTh,10,11.15,32,4
002L-LAB (1333),NEUROSCI102,7W2,Th,11.3,14.3,32,0
001-SEM (1541),NEUROSCI205,7W2,TuTh,14.45,17.15,18,4
001-SEM (1350),NEUROSCI212,7W2,TuTh,8.3,11,25,4
001L-LAB (1351),NEUROSCI212,7W2,We,11.3,14.3,25,0
003-LEC (1354),PHYS121,7W2,MoTuWeTh,13.15,14.3,40,4
003L-LAB (1355),PHYS121,7W2,Tu,14.45,17.45,20,0
003R-REC (1356),PHYS121,7W2,Mo,11.45,13,40,0
004L-LAB (1357),PHYS121,7W2,We,14.45,17.45,20,0
001-SEM (1334),PHYS201,7W2,MoTuWeTh,13.15,14.3,25,4
001L-LAB (1336),PHYS201,7W2,Mo,14.45,17.45,25,0
001R-REC (1335),PHYS201,7W2,Tu,11.45,13,25,0
001-LEC (1403),PHYS304,7W2,TuTh,14.45,17.15,18,4
001-SEM (1342),PHYS406,7W2,MoWe,8.3,11,18,4
001-LEC (1349),PHYS407,7W2,MoWe,12,14.3,18,4
002-SEM (1092),POLECON201,7W2,TuTh,12,14.3,25,4
002-SEM (1073),POLECON302,7W2,MoWe,12,14.3,18,4
002-SEM (1060),POLSCI101,7W2,MoTuWeTh,10,11.15,25,4
001-SEM (1119),POLSCI104,7W2,TuTh,14.45,17.15,18,4
001-SEM (1063),POLSCI221,7W2,MoWe,8.3,11,18,4
001-SEM (1121),POLSCI308,7W2,MoTuWeTh,16.15,17.3,18,4
001-SEM (1128),POLSCI312,7W2,MoTuWeTh,14.45,16,18,4
002-SEM (1393),PSYCH101,7W2,TuTh,12,14.3,60,4
001-SEM (1394),PSYCH204,7W2,TuTh,12,14.3,18,4
001-SEM (1391),PSYCH205,7W2,MoWe,12,14.3,18,4
002-SEM (1095),PUBPOL101,7W2,MoWe,12,14.3,25,4
001-SEM (1122),PUBPOL205,7W2,MoWe,14.45,17.15,18,4
001-SEM (1065),PUBPOL301,7W2,TuTh,8.3,11,18,4
001-SEM (1076),RELIG101,7W2,MoWe,12,14.3,18,4
001-SEM (1096),RELIG205,7W2,TuTh,12,14.3,18,4
001-SEM (1115),SOCIOL202,7W2,TuTh,14.45,17.15,18,4
001-SEM (1091),SOCIOL212,7W2,MoWe,12,14.3,18,4
001-SEM (1112),SOCIOL405,7W2,MoWe,14.45,17.15,18,4
001-LEC (1068),SOSC101,7W2,Mo,10,11.15,90,4
001D-DIS (1069),SOSC101,7W2,TuWeTh,10,11.15,18,0
002D-DIS (1070),SOSC101,7W2,TuWeTh,10,11.15,18,0
003D-DIS (1071),SOSC101,7W2,TuWeTh,10,11.15,18,0
004D-DIS (1072),SOSC101,7W2,TuWeTh,10,11.15,18,0
006D-DIS (1103),SOSC101,7W2,TuWeTh,13.15,14.3,18,0
001-LEC (1029),SOSC315,7W2,MoWe,14.45,17.15,18,4
003-LEC (1385),STATS101,7W2,TuTh,12,14.3,32,4
003L-LAB (1386),STATS101,7W2,We,14.45,16,32,0
004-LEC (1387),STATS101,7W2,MoWe,14.45,17.15,32,4
